Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Defensive Midfield,29,Sevilla FC,LaLiga,Leicester,Premier League,2017,15.0,9.0,Iborra,Sevilla FC,82.0,82.0,2017.0,Vicente Iborra,Spain,fallback_team_from,2.772588722239781,6.0,0.10975609756097561,Top 1-15,15.1,16.55,27-29,Midfielder,England,False,True,True,True
Forward,21,River Plate,Primera División,Zenit S-Pb,Premier Liga,2017,15.0,8.0,Driussi,River Plate,69.0,80.0,2017.0,Sebastián Driussi,Argentina,fallback_team_from,2.772588722239781,7.0,0.1,Top 1-15,8.0,15.0,20-23,Forward,Ukraine,False,False,False,True
Defensive Midfield,26,Arsenal,Premier League,Valencia CF,LaLiga,2017,14.0,12.0,Coquelin,Arsenal,81.0,84.0,2017.0,Francis Coquelin,France,fallback_team_from,2.70805020110221,2.0,0.14285714285714285,Top 1-15,13.75,14.5,24-26,Midfielder,Spain,False,True,True,True
Centre-Back,23,Sporting CP,Liga NOS,Villarreal CF,LaLiga,2017,14.0,9.0,Semedo,Sporting CP,79.0,85.0,2017.0,Rúben Semedo,Portugal,fallback_team_from,2.70805020110221,5.0,0.10588235294117647,Top 1-15,13.75,11.0,20-23,Defender,Spain,False,True,True,True
Right-Back,22,Feyenoord,Eredivisie,AS Roma,Serie A,2017,14.0,9.0,Karsdorp,Feyenoord,76.0,82.0,2017.0,Rick Karsdorp,Netherlands,fallback_team_from,2.70805020110221,5.0,0.10975609756097561,Top 1-15,11.0,9.75,20-23,Defender,Italy,False,True,True,True
Forward,27,Southampton,Premier League,West Brom,Premier League,2017,13.7,10.0,Rodriguez,Southampton,77.0,77.0,2017.0,Jay Rodríguez,England,fallback_team_from,2.6878474937846906,3.6999999999999993,0.12987012987012986,Top 1-15,15.1,11.5,24-26,Forward,England,True,True,False,True
Centre-Back,24,Hull City,Championship,Leicester,Premier League,2017,13.7,8.0,Maguire,Hull City,72.0,80.0,2017.0,Harry Maguire,England,fallback_team_from,2.6878474937846906,5.699999999999999,0.1,Top 1-15,15.1,16.55,20-23,Defender,England,True,False,True,True
Central Midfield,26,Middlesbrough,Championship,Atalanta,Serie A,2017,13.5,10.0,Roon,Middlesbrough,78.0,81.0,2017.0,Marten de Roon,Netherlands,fallback_team_from,2.6741486494265287,3.5,0.12345679012345678,Top 1-15,11.0,9.25,24-26,Midfielder,Italy,False,True,False,True
Left Winger,22,Galatasaray,Süper Lig,RB Leipzig,1.Bundesliga,2017,13.0,11.0,Bruma,Galatasaray,76.0,86.0,2017.0,Bruma,Netherlands,fallback_lastname_season,2.6390573296152584,2.0,0.12790697674418605,Top 1-15,12.0,15.2,20-23,Winger,Germany,False,True,False,True
Central Midfield,25,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017,13.0,10.0,Propper,PSV Eindhoven,78.0,83.0,2017.0,Davy Pröpper,Netherlands,fallback_lastname_season,2.6390573296152584,3.0,0.12048192771084337,Top 1-15,15.1,15.95,24-26,Midfielder,England,False,True,False,True
